step,train_loss,test_loss,train_acc,test_acc,restricted_loss,excluded_loss,hill,moment,gpd,k,n,median_deviation
5200,0.0137069,25.1353,0.995822,0.223739,13.7671,16.4696,0.0424075,-0.179795,-0.177097,638,12769,508.322
5300,0.0017974,14.0728,1,0.248909,7.47605,9.61177,0.044394,-0.0920289,-0.09483,638,12769,258.927
5400,0.0129333,10.2882,1,0.251594,5.92232,7.12047,0.04062,-0.072535,-0.0891093,638,12769,194.019
5500,0.00635313,11.1792,1,0.251706,6.21641,7.68763,0.0389455,-0.0997203,-0.123784,638,12769,201.011
5600,0.00240612,12.4708,1,0.252713,6.69706,8.61069,0.0393744,-0.143731,-0.159262,638,12769,211.49
5700,0.000881587,13.8265,1,0.252042,7.26546,9.60396,0.0383203,-0.130471,-0.14926,638,12769,219.1
5800,0.000318808,15.2078,1,0.253272,7.86922,10.6454,0.0388521,-0.162074,-0.157695,638,12769,223.397
5900,0.000114858,16.6029,1,0.253272,8.4969,11.7109,0.0380117,-0.144378,-0.139095,638,12769,224.754
6000,4.1486e-05,17.9866,1,0.25316,9.1312,12.7751,0.0382768,-0.166506,-0.144416,638,12769,223.391
6100,1.51945e-05,19.3427,1,0.254167,9.76169,13.819,0.0385096,-0.186748,-0.151217,638,12769,220.883
6200,5.75667e-06,20.6388,1,0.254391,10.3696,14.808,0.0388725,-0.203197,-0.156093,638,12769,218.425
6300,2.3412e-06,21.8008,1,0.254838,10.9166,15.6777,0.0388929,-0.206055,-0.15685,638,12769,220.393
6400,1.0806e-06,22.7174,1,0.255286,11.342,16.3159,0.0385854,-0.1979,-0.150184,638,12769,238.134
6500,5.87362e-07,23.3249,1,0.254167,11.5932,16.6235,0.0392426,-0.171027,-0.132518,638,12769,301.529
6600,4.05405e-07,23.6911,1,0.254503,11.6223,16.5492,0.0405481,-0.136536,-0.124536,638,12769,419.519
6700,0.000511169,19.6303,1,0.238729,9.92313,13.6375,0.0360563,-0.244702,-0.179288,638,12769,393.873
6800,0.00335924,11.8394,1,0.257971,6.41769,8.33438,0.0367596,-0.225915,-0.165882,638,12769,251.54
6900,0.0035061,11.4876,1,0.258083,6.2536,8.06457,0.0368103,-0.106811,-0.12746,638,12769,232.447
7000,0.00134619,12.7321,1,0.258306,6.76057,8.95209,0.0389981,-0.132839,-0.158289,638,12769,238.253
7100,0.000494896,14.0609,1,0.259537,7.33577,9.95417,0.0402546,-0.129854,-0.152614,638,12769,241.878
7200,0.000179418,15.4122,1,0.259649,7.94132,11.0028,0.0404924,-0.0942585,-0.122248,638,12769,242.533
7300,6.48507e-05,16.765,1,0.260096,8.5578,12.0726,0.0406611,-0.0595863,-0.0901263,638,12769,240.743
7400,2.36014e-05,18.1066,1,0.259537,9.17428,13.1423,0.0425649,-0.0757523,-0.102883,638,12769,237.457
7500,8.7792e-06,19.4022,1,0.258866,9.7782,14.1185,0.0436428,-0.0781209,-0.102579,638,12769,233.944
7600,3.43204e-06,20.6021,1,0.259761,10.3354,15.0652,0.0448844,-0.0859379,-0.108078,638,12769,233.02
7700,1.48093e-06,21.6103,1,0.259649,10.8033,15.8464,0.0456639,-0.0829918,-0.10746,638,12769,242.752
7800,7.38568e-07,22.3305,1,0.26032,11.1205,16.3624,0.046096,-0.102756,-0.126509,638,12769,288.569
7900,4.44187e-07,22.8039,1,0.259201,11.249,16.5531,0.0447606,-0.163132,-0.174357,638,12769,396.854
8000,0.0905661,23.1247,0.979634,0.197449,13.0564,15.3832,0.0422357,-0.124668,-0.14872,638,12769,471.277
8100,0.00290034,12.2338,1,0.254167,6.50452,8.92281,0.0393566,-0.107078,-0.126138,638,12769,260.169
8200,0.0145448,9.37173,1,0.260767,5.39841,6.91091,0.037187,-0.110753,-0.148489,638,12769,205.051
8300,0.00670571,10.266,1,0.26032,5.66086,7.50126,0.0357863,-0.132964,-0.18227,638,12769,219.485
8400,0.00253647,11.4403,1,0.261327,6.07502,8.3338,0.0360629,-0.156648,-0.200969,638,12769,233.559
8500,0.000929097,12.6679,1,0.261103,6.55036,9.24321,0.0360995,-0.168842,-0.20622,638,12769,243.349
8600,0.000335941,13.922,1,0.260656,7.0672,10.199,0.0366965,-0.202824,-0.223634,638,12769,248.596
8700,0.000120951,15.1871,1,0.260767,7.60707,11.1756,0.0361299,-0.184253,-0.209145,638,12769,249.986
8800,4.36463e-05,16.4453,1,0.259425,8.1597,12.1524,0.0363186,-0.18514,-0.200327,638,12769,248.279
8900,1.59507e-05,17.6833,1,0.259761,8.71124,13.119,0.0366636,-0.180659,-0.184732,638,12769,244.795
9000,6.02216e-06,18.8681,1,0.259201,9.24349,14.0457,0.036745,-0.163257,-0.162162,638,12769,241.118
9100,2.4309e-06,19.9381,1,0.259201,9.72794,14.8826,0.0375515,-0.176495,-0.157872,638,12769,240.286
9200,1.10625e-06,20.7879,1,0.258642,10.1147,15.5296,0.0358245,-0.128264,-0.129405,638,12769,254.39
9300,5.90599e-07,21.3726,1,0.258978,10.3717,15.9226,0.0363493,-0.155953,-0.151413,638,12769,312.091
9400,3.96036e-07,21.7713,1,0.257188,10.4955,16.033,0.0400117,-0.186324,-0.182404,638,12769,447.808
9500,0.00223417,19.921,1,0.231681,10.1654,14.2935,0.0368143,-0.150795,-0.143376,638,12769,474.417
9600,0.0023895,11.3698,1,0.259984,5.99371,8.46696,0.0361857,-0.141508,-0.147538,638,12769,288.688
9700,0.00439155,10.2147,1,0.261327,5.50289,7.61556,0.0370179,-0.186256,-0.18377,638,12769,253.355
9800,0.00171167,11.309,1,0.261215,5.90228,8.4378,0.0379735,-0.20835,-0.20898,638,12769,261.656
9900,0.000631452,12.5022,1,0.260879,6.38871,9.39257,0.0382787,-0.213085,-0.222359,638,12769,267.224
10000,0.000228951,13.7284,1,0.260208,6.91307,10.4058,0.037853,-0.19816,-0.221458,638,12769,269.126
10100,8.26335e-05,14.9603,1,0.260991,7.45331,11.4425,0.0372795,-0.187355,-0.217838,638,12769,267.901
10200,2.99625e-05,16.1817,1,0.261662,7.99803,12.4795,0.0370261,-0.18897,-0.220293,638,12769,264.16
10300,1.10419e-05,17.372,1,0.261662,8.53317,13.4991,0.0377209,-0.210616,-0.237035,638,12769,259.324
10400,4.23624e-06,18.4885,1,0.261551,9.03794,14.4596,0.0383072,-0.220933,-0.245324,638,12769,255.69
10500,1.76766e-06,19.4587,1,0.262334,9.47387,15.2925,0.0381475,-0.207262,-0.247739,638,12769,258.814
10600,8.44612e-07,20.1891,1,0.261774,9.79722,15.8973,0.0393502,-0.253603,-0.294097,638,12769,289.011
10700,4.77895e-07,20.6618,1,0.261551,9.97403,16.1884,0.0391869,-0.232992,-0.269646,638,12769,377.61
10800,3.75058e-07,20.8521,1,0.260096,9.90529,16.0433,0.0397852,-0.185872,-0.204904,638,12769,547.408
10900,0.000798254,16.0329,1,0.245777,8.08643,12.2189,0.0387191,-0.150372,-0.203465,638,12769,423.942
11000,0.00709437,9.46468,1,0.265018,5.1697,7.47844,0.0389993,-0.174211,-0.214463,638,12769,266.758
11100,0.0120598,8.6125,1,0.263788,4.81829,6.8632,0.0385493,-0.19409,-0.200916,638,12769,245.499
11200,0.00483785,9.52072,1,0.266025,5.08437,7.55156,0.0389238,-0.191673,-0.189708,638,12769,266.919
11300,0.00181142,10.5258,1,0.268375,5.42421,8.34922,0.0398446,-0.219753,-0.198101,638,12769,284.123
11400,0.000662099,11.5698,1,0.269158,5.80615,9.21301,0.0396911,-0.210527,-0.190872,638,12769,295.686
11500,0.000239667,12.6318,1,0.269829,6.21565,10.1219,0.038789,-0.177106,-0.171576,638,12769,301.473
11600,8.64907e-05,13.7,1,0.271619,6.6417,11.0585,0.0393086,-0.199179,-0.178769,638,12769,302.479
11700,3.1359e-05,14.7551,1,0.271731,7.07337,12.0044,0.0392207,-0.192823,-0.174333,638,12769,299.673
11800,1.15649e-05,15.7764,1,0.271395,7.49641,12.9368,0.0400552,-0.217558,-0.184232,638,12769,294.933
11900,4.44161e-06,16.7358,1,0.272178,7.89524,13.829,0.0401251,-0.210964,-0.181054,638,12769,290.481
12000,1.85372e-06,17.5723,1,0.271507,8.24352,14.6252,0.0401354,-0.207755,-0.175901,638,12769,292.117
12100,8.833e-07,18.2105,1,0.271283,8.51132,15.2402,0.0393941,-0.194312,-0.166476,638,12769,320.574
12200,4.91404e-07,18.6624,1,0.271731,8.68716,15.6327,0.0386468,-0.137242,-0.130825,638,12769,413.586
12300,3.72661e-07,18.891,1,0.269158,8.68865,15.654,0.0397784,-0.115272,-0.114333,638,12769,578.556
12400,0.000791517,12.3739,1,0.263117,6.01627,10.4831,0.0387164,-0.11057,-0.145762,638,12769,363.338
12500,0.00959475,8.11487,1,0.272402,4.40711,7.01678,0.0397889,-0.123922,-0.150955,638,12769,247.165
12600,0.00652376,8.33817,1,0.274304,4.41903,7.26401,0.0394632,-0.0821694,-0.0967022,638,12769,251.157
12700,0.0025028,9.21684,1,0.274192,4.68546,8.08004,0.0396931,-0.0705256,-0.0804639,638,12769,266.5
12800,0.000918453,10.1644,1,0.274751,5.01224,8.98248,0.0404359,-0.0817683,-0.0861541,638,12769,276.951
12900,0.000331307,11.1301,1,0.274975,5.3671,9.92836,0.0404068,-0.0747714,-0.0785322,638,12769,281.81
13000,0.000118815,12.0913,1,0.275982,5.73442,10.8986,0.0418926,-0.115951,-0.104974,638,12769,282.12
13100,4.27098e-05,13.0369,1,0.277436,6.10363,11.8765,0.0422322,-0.116996,-0.10404,638,12769,278.948
13200,1.55496e-05,13.9485,1,0.278107,6.46563,12.8442,0.0430331,-0.130058,-0.108909,638,12769,273.688
13300,5.84363e-06,14.7982,1,0.278443,6.80371,13.7775,0.0428552,-0.11232,-0.0965527,638,12769,267.811
13400,2.34767e-06,15.5455,1,0.279114,7.09871,14.6257,0.0419136,-0.0778748,-0.0730928,638,12769,264.228
13500,1.06314e-06,16.1257,1,0.279226,7.32226,15.301,0.0413273,-0.0654607,-0.062744,638,12769,271.838
13600,5.6598e-07,16.4967,1,0.280121,7.45438,15.7241,0.0414811,-0.0774632,-0.0702941,638,12769,318.391
13700,3.54235e-07,16.7293,1,0.280121,7.48637,15.9001,0.0407317,-0.0489684,-0.0475544,638,12769,433.207
13800,0.0138178,16.5833,0.996345,0.238841,8.77948,14.6924,0.0406704,-0.134166,-0.104903,638,12769,511.951
13900,0.00193065,8.97837,1,0.280792,4.36211,8.72611,0.0421844,-0.100619,-0.0847473,638,12769,292.667
14000,0.0064395,7.3036,1,0.282134,3.7452,7.24328,0.0428423,-0.0820846,-0.0821979,638,12769,240.847
14100,0.00265769,7.9322,1,0.283477,3.8762,7.94524,0.0438459,-0.0900948,-0.0879798,638,12769,256.051
14200,0.00099101,8.68432,1,0.285714,4.09546,8.78248,0.0452106,-0.113161,-0.102107,638,12769,268.369
14300,0.00035992,9.46414,1,0.287728,4.3381,9.70314,0.0446892,-0.0906441,-0.0918809,638,12769,276.009
14400,0.000129455,10.2411,1,0.289294,4.59007,10.6661,0.0447651,-0.0866573,-0.0915176,638,12769,279.159
14500,4.65831e-05,10.9978,1,0.290189,4.83993,11.6513,0.045898,-0.109791,-0.106812,638,12769,278.634
14600,1.6925e-05,11.7164,1,0.291643,5.07972,12.6338,0.0464421,-0.124146,-0.117343,638,12769,275.725
14700,6.32914e-06,12.3706,1,0.293993,5.29634,13.5857,0.0472259,-0.138804,-0.129417,638,12769,272.232
14800,2.51762e-06,12.9377,1,0.295335,5.47784,14.4687,0.0477589,-0.150289,-0.140987,638,12769,271.016
14900,1.12178e-06,13.3632,1,0.296901,5.60648,15.2,0.0473686,-0.15019,-0.14314,638,12769,281.462
15000,5.859e-07,13.6229,1,0.297796,5.66913,15.7037,0.0463449,-0.143768,-0.137846,638,12769,327.208
15100,3.55636e-07,13.7711,1,0.297796,5.67676,15.9447,0.04343,-0.0771191,-0.0819932,638,12769,437.683
15200,3.58904e-07,13.6974,1,0.297461,5.5446,15.8341,0.0455938,-0.125977,-0.102709,638,12769,608.01
15300,0.000679273,8.48887,1,0.298467,3.74564,10.0006,0.0437185,-0.093814,-0.0808404,638,12769,358.737
15400,0.00599774,5.93723,1,0.302495,2.87137,7.25982,0.0450772,-0.075645,-0.0748575,638,12769,257.763
15500,0.00312025,6.21711,1,0.307305,2.87079,7.93659,0.0460902,-0.0819316,-0.0776666,638,12769,269.079
15600,0.00118518,6.76362,1,0.308648,2.98177,8.97691,0.0463597,-0.0751392,-0.0738047,638,12769,285.756
15700,0.000432694,7.33537,1,0.310885,3.11929,10.0925,0.0469482,-0.0809641,-0.0774723,638,12769,297.479
15800,0.000155619,7.90224,1,0.31357,3.26589,11.2517,0.0470303,-0.0831339,-0.0783998,638,12769,304.141
15900,5.57638e-05,8.43932,1,0.316702,3.40545,12.4287,0.0468936,-0.0841341,-0.0796979,638,12769,306.049
16000,2.01146e-05,8.92891,1,0.319275,3.52877,13.5985,0.0472158,-0.0979234,-0.0881528,638,12769,304.434
16100,7.43034e-06,9.35616,1,0.323079,3.62759,14.7387,0.0467,-0.0884762,-0.0820257,638,12769,301.093
16200,2.89379e-06,9.70475,1,0.326435,3.69812,15.8045,0.0460549,-0.0738254,-0.0715048,638,12769,298.282
16300,1.25397e-06,9.94496,1,0.330909,3.81628,16.6854,0.0453172,-0.0558064,-0.0586448,638,12769,302.578
16400,6.36478e-07,10.0526,1,0.334937,3.81388,17.2644,0.0467365,-0.0890211,-0.0828062,638,12769,332.808
16500,3.75431e-07,10.0347,1,0.338852,3.75422,17.4125,0.0486657,-0.134137,-0.109381,638,12769,410.655
