Модель,"Разность, п.п.",95% ДИ,ДИ с поправкой на 9
DeepSeek,+3.82,[-3.87; 11.51],[-7.08; 14.58]
Goedel,+8.20,[1.05; 15.39],[-2.03; 18.40]
Kimina,+7.57,[-0.26; 15.66],[-3.34; 19.13]
