Модель,Разность,95% ДИ,ДИ с поправкой на 9
DeepSeek,+6.82,[-0.41; 14.16],[-3.25; 17.32]
Goedel,+12.05,[4.83; 19.50],[1.96; 22.69]
Kimina,+5.25,[-1.52; 12.50],[-4.29; 15.68]
