step,train_loss,test_loss,train_acc,test_acc,restricted_loss,excluded_loss,hill,moment,gpd,k,n,median_deviation
0,4.93596,4.93252,0.0075718,0.00939702,4.92997,4.73104,0.0261416,0.00148087,0.00320379,638,12769,3.58095
100,1.46518,8.67812,0.660836,0.113436,5.58356,6.85491,0.050106,-0.137136,-0.13449,638,12769,37.2126
200,0.0685132,17.1934,0.977023,0.241414,8.92895,12.4514,0.0513542,-0.0965365,-0.0924915,638,12769,67.5655
300,0.0323478,17.0458,0.98799,0.250028,8.76296,12.0786,0.0513889,-0.0742819,-0.0741927,638,12769,63.5652
400,0.0163667,16.7371,0.993995,0.255621,8.58622,11.7568,0.0491826,-0.0694983,-0.0768003,638,12769,58.6481
500,0.00717532,17.3913,0.997389,0.262222,8.90778,12.1992,0.049055,-0.0644128,-0.073571,638,12769,56.5427
600,0.0025405,17.6479,0.999478,0.264123,9.00647,12.4898,0.0481494,-0.0666178,-0.0730155,638,12769,52.8731
700,0.000835303,18.5202,1,0.265018,9.4039,13.1292,0.0474378,-0.0598155,-0.0655494,638,12769,51.4542
800,0.000261373,19.6939,1,0.266697,9.92157,13.9329,0.047483,-0.0754283,-0.0775923,638,12769,51.5569
900,9.40272e-05,20.9323,1,0.268039,10.4605,14.8557,0.0480221,-0.0860263,-0.0857522,638,12769,52.4868
1000,3.4063e-05,22.1623,1,0.267703,10.9966,15.7073,0.0484919,-0.0977143,-0.0960577,638,12769,53.8829
1100,1.25826e-05,23.3749,1,0.267927,11.5254,16.5529,0.0485058,-0.0965643,-0.0982347,638,12769,55.5442
1200,4.84567e-06,24.5202,1,0.267144,12.0511,17.2842,0.0487711,-0.101842,-0.104658,638,12769,57.3727
1300,2.00685e-06,25.5095,1,0.267144,12.4684,17.9549,0.0494086,-0.131386,-0.123951,638,12769,59.1399
1400,9.54047e-07,26.2327,1,0.266697,12.7472,18.4152,0.0478891,-0.105585,-0.110229,638,12769,60.7357
1500,5.59039e-07,26.5882,1,0.266697,12.8409,18.5938,0.0465585,-0.0996325,-0.105775,638,12769,62.2453
1600,4.20345e-07,26.5221,1,0.266585,12.7313,18.4839,0.0446014,-0.106457,-0.105675,638,12769,64.6769
1700,3.77486e-07,26.2362,1,0.266585,12.535,18.2116,0.0431069,-0.141197,-0.128153,638,12769,70.4044
1800,3.67152e-07,25.9213,1,0.267927,12.3308,17.9349,0.0432833,-0.162642,-0.160328,638,12769,81.1014
1900,3.68055e-07,25.6452,1,0.268375,12.1651,17.7131,0.0439524,-0.204013,-0.177698,638,12769,95.3505
2000,3.65752e-07,25.3998,1,0.267927,12.0322,17.5352,0.0419866,-0.161594,-0.147005,638,12769,113.865
2100,3.64506e-07,25.2103,1,0.267815,11.9286,17.4164,0.0413241,-0.129783,-0.12964,638,12769,140.037
