step,train_loss,test_loss,train_acc,test_acc,restricted_loss,excluded_loss,hill,moment,gpd,k,n,median_deviation
0,4.94073,4.93976,0.00704961,0.00850207,4.93702,4.73032,0.0213399,0.047918,0.0554609,638,12769,3.78924
100,1.48193,8.74607,0.653264,0.122385,5.74904,6.79717,0.0673219,-0.114355,-0.186818,638,12769,38.5458
200,0.116145,17.2163,0.961358,0.240519,9.16219,12.2404,0.0660439,-0.114209,-0.214134,638,12769,68.6642
300,0.0657278,17.1441,0.975196,0.238953,8.9195,11.8163,0.0623236,-0.208129,-0.225885,638,12769,64.2409
400,0.0350703,17.1605,0.986684,0.245329,8.84217,11.6066,0.0547651,-0.265888,-0.205779,638,12769,59.692
500,0.0205647,17.0858,0.991906,0.252153,8.85796,11.5331,0.051386,-0.2532,-0.190166,638,12769,55.2194
600,0.00649414,17.4852,0.997911,0.250252,9.10578,11.8769,0.0488565,-0.111443,-0.11898,638,12769,51.8633
700,0.00252103,17.6759,0.999217,0.256181,9.22632,12.017,0.049396,-0.0849096,-0.0973802,638,12769,49.0226
800,0.00250989,17.562,0.999478,0.253384,9.15443,12.0114,0.0526643,-0.109952,-0.105925,638,12769,45.6324
900,0.0013031,17.2884,0.999739,0.258194,8.88437,11.6326,0.0522754,-0.104154,-0.117775,638,12769,42.4181
1000,0.000459784,18.1136,1,0.258978,9.20495,12.1242,0.053045,-0.128213,-0.13284,638,12769,42.1899
1100,0.000167233,19.4598,1,0.259761,9.71796,13.0397,0.0537576,-0.145033,-0.143047,638,12769,43.6619
1200,6.07389e-05,20.8274,1,0.259984,10.3098,13.9303,0.0544533,-0.160491,-0.152658,638,12769,45.5234
1300,2.22306e-05,22.1786,1,0.258978,10.896,14.8114,0.0562032,-0.196786,-0.172411,638,12769,47.541
1400,8.34463e-06,23.4768,1,0.258418,11.4718,15.6364,0.0563595,-0.19985,-0.174378,638,12769,49.6074
1500,3.30147e-06,24.6762,1,0.25853,11.993,16.4002,0.054769,-0.162383,-0.156152,638,12769,51.7289
1600,1.43415e-06,25.6829,1,0.257523,12.4155,17.0145,0.0549809,-0.175038,-0.16018,638,12769,53.6757
1700,7.4414e-07,26.353,1,0.257635,12.6721,17.3898,0.0546591,-0.188148,-0.16126,638,12769,55.4993
1800,4.89972e-07,26.6026,1,0.257971,12.73,17.4786,0.053424,-0.174922,-0.149919,638,12769,57.4468
