step,train_loss,test_loss,train_acc,test_acc,restricted_loss,excluded_loss,hill,moment,gpd,k,n,median_deviation
0,4.93596,4.93252,0.0075718,0.00939702,4.92997,4.73104,0.0261416,0.00147907,0.0032023,638,12769,3.58095
100,1.47457,8.65391,0.65953,0.11131,5.57481,6.83016,0.0478781,-0.138902,-0.134182,638,12769,37.1426
200,0.0699927,17.0535,0.975457,0.246336,8.83272,12.3565,0.0499531,-0.0997251,-0.102966,638,12769,66.9571
300,0.0424948,16.8285,0.983812,0.248686,8.63743,11.9386,0.0496839,-0.0755636,-0.0790175,638,12769,62.6582
400,0.0174367,17.0584,0.993734,0.257859,8.73721,11.9875,0.0500934,-0.089796,-0.0884527,638,12769,59.5687
500,0.00759211,17.1171,0.997389,0.260096,8.78179,12.0104,0.0518981,-0.0709309,-0.0720385,638,12769,55.5993
600,0.00155069,18.1363,1,0.262557,9.24611,12.7024,0.05309,-0.101866,-0.0976801,638,12769,54.6766
700,0.000480681,19.1107,1,0.265018,9.6696,13.3634,0.0536366,-0.117993,-0.111933,638,12769,54.4771
800,0.000170811,20.2954,1,0.266808,10.0745,14.2168,0.0528962,-0.101329,-0.105867,638,12769,55.4389
900,6.1078e-05,21.5082,1,0.267703,10.5982,15.0463,0.0526781,-0.098336,-0.106205,638,12769,56.787
1000,2.21464e-05,22.7071,1,0.267032,11.1139,15.8688,0.0529938,-0.0995335,-0.110425,638,12769,58.345
1100,8.21316e-06,23.8938,1,0.266361,11.6226,16.6832,0.0532135,-0.102013,-0.112897,638,12769,59.9909
1200,3.20448e-06,25.0064,1,0.266697,12.0946,17.4415,0.0530933,-0.0946325,-0.108363,638,12769,61.5351
1300,1.38656e-06,25.9357,1,0.267368,12.4722,18.0604,0.053863,-0.106496,-0.116975,638,12769,62.7642
1400,7.25869e-07,26.5191,1,0.267144,12.6843,18.4144,0.0532684,-0.102482,-0.113772,638,12769,63.4485
1500,4.80292e-07,26.6866,1,0.267256,12.6924,18.4653,0.052204,-0.0978548,-0.109657,638,12769,63.7445
1600,3.82123e-07,26.6731,1,0.267144,12.6707,18.4247,0.0506537,-0.0779313,-0.0923151,638,12769,63.8516
1700,3.49193e-07,26.5557,1,0.267591,12.5704,18.3007,0.0496998,-0.0638436,-0.0790145,638,12769,63.0968
1800,3.43871e-07,26.3825,1,0.268375,12.4607,18.1617,0.050406,-0.0850152,-0.0943103,638,12769,61.831
1900,3.42128e-07,26.2068,1,0.268039,12.3673,18.0452,0.0497076,-0.0730383,-0.0861422,638,12769,60.6346
2000,3.42968e-07,26.0207,1,0.267591,12.2784,17.9402,0.0496232,-0.072817,-0.0863809,638,12769,59.6507
2100,3.42999e-07,25.8393,1,0.26692,12.194,17.85,0.0495871,-0.0727456,-0.0872851,638,12769,58.8699
2200,3.42906e-07,25.6414,1,0.266249,12.1019,17.7553,0.0491411,-0.0661818,-0.0829139,638,12769,58.2231
2300,3.44555e-07,25.4408,1,0.266361,12.0048,17.6617,0.0491493,-0.0741277,-0.0908666,638,12769,57.7299
2400,3.44524e-07,25.2321,1,0.266137,11.9044,17.5621,0.0486079,-0.0711658,-0.0903475,638,12769,57.3154
2500,3.43497e-07,25.0293,1,0.26513,11.8019,17.4697,0.0483613,-0.0837846,-0.1007,638,12769,56.9585
2600,3.43808e-07,24.8219,1,0.264907,11.7004,17.378,0.0478228,-0.0894961,-0.106388,638,12769,56.6385
2700,3.45178e-07,24.611,1,0.265354,11.5934,17.2852,0.0476507,-0.106259,-0.121005,638,12769,56.3697
2800,3.43373e-07,24.4019,1,0.265354,11.4884,17.1952,0.0473521,-0.118091,-0.12977,638,12769,56.1485
2900,3.41412e-07,24.2061,1,0.265354,11.3886,17.1174,0.0467351,-0.114362,-0.129262,638,12769,55.998
3000,3.39918e-07,24.0093,1,0.266249,11.288,17.0414,0.0465164,-0.12091,-0.136998,638,12769,55.8585
3100,3.39015e-07,23.8381,1,0.266361,11.1979,16.9834,0.0463053,-0.130807,-0.144769,638,12769,55.7647
3200,3.3721e-07,23.6688,1,0.266697,11.1022,16.928,0.0465399,-0.155555,-0.162048,638,12769,55.6852
