step,train_loss,test_loss,train_acc,test_acc,restricted_loss,excluded_loss,hill,moment,gpd,k,n,median_deviation
4500,3.28121e-07,24.5048,1,0.25495,11.7671,15.9151,0.045931,-0.227764,-0.200206,638,12769,54.3974
4600,3.26907e-07,24.4474,1,0.254726,11.7407,15.8833,0.0458481,-0.23419,-0.205912,638,12769,54.3989
4700,3.27343e-07,24.3869,1,0.254167,11.7111,15.851,0.0459989,-0.244145,-0.213079,638,12769,54.4094
4800,3.26223e-07,24.3287,1,0.25316,11.684,15.822,0.0461584,-0.252825,-0.21943,638,12769,54.4147
4900,3.27966e-07,24.2667,1,0.253272,11.6553,15.7904,0.045953,-0.253952,-0.222722,638,12769,54.4338
5000,3.25133e-07,24.2161,1,0.252937,11.6344,15.766,0.0455285,-0.246596,-0.221128,638,12769,54.4525
5100,3.26347e-07,24.1594,1,0.252489,11.611,15.7372,0.0444907,-0.217954,-0.210986,638,12769,54.4886
5200,3.24978e-07,24.1066,1,0.252377,11.5867,15.7131,0.0442199,-0.216626,-0.211618,638,12769,54.5154
5300,3.2311e-07,24.0556,1,0.251818,11.5627,15.6911,0.0438962,-0.211042,-0.210013,638,12769,54.5478
5400,3.23266e-07,24,1,0.252265,11.539,15.6651,0.0432559,-0.194567,-0.202593,638,12769,54.5522
5500,3.22954e-07,23.9439,1,0.252153,11.5159,15.6388,0.04249,-0.177668,-0.193558,638,12769,54.5596
5600,3.22394e-07,23.8824,1,0.251594,11.489,15.6072,0.0421955,-0.174755,-0.19118,638,12769,54.5612
5700,3.23048e-07,23.8215,1,0.25193,11.4636,15.5776,0.0428524,-0.202132,-0.204587,638,12769,54.5654
5800,3.22674e-07,23.7582,1,0.251818,11.4347,15.5471,0.043173,-0.22138,-0.213495,638,12769,54.5562
5900,3.20402e-07,23.7004,1,0.250923,11.4123,15.5202,0.0431731,-0.225731,-0.214242,638,12769,54.5821
6000,3.20122e-07,23.6417,1,0.250587,11.3867,15.4943,0.0423737,-0.201426,-0.200774,638,12769,54.595
6100,3.18472e-07,23.5887,1,0.250811,11.3619,15.4699,0.0417815,-0.187615,-0.193606,638,12769,54.6237
6200,3.18939e-07,23.5313,1,0.250587,11.3342,15.4431,0.0411246,-0.173235,-0.185131,638,12769,54.6582
6300,3.18006e-07,23.4765,1,0.249692,11.3114,15.4173,0.0413326,-0.184704,-0.189807,638,12769,54.6668
6400,3.17632e-07,23.4192,1,0.249357,11.2849,15.39,0.0414858,-0.194504,-0.1945,638,12769,54.6705
6500,3.17974e-07,23.3683,1,0.250028,11.2606,15.3673,0.0412914,-0.19244,-0.191493,638,12769,54.6568
6600,3.17974e-07,23.3193,1,0.249469,11.2375,15.3444,0.0411922,-0.197368,-0.192225,638,12769,54.6888
6700,3.16325e-07,23.2652,1,0.249916,11.2124,15.3192,0.0407681,-0.189294,-0.18554,638,12769,54.7132
6800,3.15329e-07,23.2184,1,0.249245,11.1943,15.2955,0.0401131,-0.173079,-0.173991,638,12769,54.7308
6900,3.14395e-07,23.171,1,0.249133,11.1714,15.2756,0.0406969,-0.194436,-0.182197,638,12769,54.7535
7000,3.14862e-07,23.1231,1,0.249357,11.1503,15.2533,0.0409829,-0.20805,-0.185534,638,12769,54.7636
7100,3.14551e-07,23.0762,1,0.248909,11.127,15.2322,0.0401493,-0.181654,-0.171269,638,12769,54.7855
7200,3.14893e-07,23.0262,1,0.248686,11.104,15.2089,0.0404098,-0.197243,-0.1762,638,12769,54.8059
7300,3.16076e-07,22.9723,1,0.248686,11.0818,15.1826,0.0398072,-0.177408,-0.165671,638,12769,54.8184
7400,3.15453e-07,22.9108,1,0.248574,11.0561,15.1517,0.0396045,-0.172426,-0.162751,638,12769,54.8449
7500,3.14675e-07,22.8569,1,0.248126,11.0321,15.1268,0.0397271,-0.178962,-0.165302,638,12769,54.8809
7600,3.15484e-07,22.8065,1,0.248014,11.0077,15.1075,0.039726,-0.180731,-0.165017,638,12769,54.9562
7700,3.13368e-07,22.7606,1,0.247343,10.9881,15.0887,0.0398168,-0.18537,-0.164878,638,12769,55.0397
7800,3.12061e-07,22.716,1,0.247119,10.9698,15.0707,0.0402914,-0.201441,-0.170916,638,12769,55.1197
7900,3.12994e-07,22.6722,1,0.246672,10.9502,15.0529,0.0404271,-0.204006,-0.170692,638,12769,55.1757
8000,3.11407e-07,22.629,1,0.246336,10.9331,15.0376,0.0404746,-0.200023,-0.167644,638,12769,55.2436
8100,3.11531e-07,22.5848,1,0.246113,10.9133,15.0212,0.0406263,-0.205086,-0.17024,638,12769,55.2773
8200,3.09695e-07,22.5491,1,0.245889,10.8987,15.0097,0.0403987,-0.195243,-0.166005,638,12769,55.3178
8300,3.10224e-07,22.5071,1,0.245889,10.8807,14.9926,0.0413626,-0.228657,-0.178265,638,12769,55.3808
8400,3.09633e-07,22.4635,1,0.245441,10.8642,14.9743,0.0411399,-0.215837,-0.172099,638,12769,55.4115
8500,3.09975e-07,22.4172,1,0.245329,10.8451,14.9576,0.0411953,-0.209918,-0.168257,638,12769,55.4821
8600,3.08014e-07,22.3759,1,0.244994,10.8266,14.9418,0.0412574,-0.206004,-0.166244,638,12769,55.5565
8700,3.08014e-07,22.334,1,0.244099,10.8079,14.9273,0.0411276,-0.198758,-0.16297,638,12769,55.6187
8800,3.07174e-07,22.2934,1,0.24354,10.7912,14.9129,0.0409547,-0.193039,-0.160357,638,12769,55.7077
8900,3.07049e-07,22.2552,1,0.243763,10.7731,14.8981,0.0410039,-0.196269,-0.160515,638,12769,55.7818
9000,3.0817e-07,22.2162,1,0.243204,10.7547,14.8831,0.0411274,-0.200168,-0.161818,638,12769,55.8866
9100,3.08077e-07,22.1745,1,0.242868,10.7356,14.8681,0.0408034,-0.184691,-0.15413,638,12769,56.0062
9200,3.06956e-07,22.1299,1,0.242868,10.7145,14.8502,0.0412386,-0.197083,-0.158713,638,12769,56.1562
9300,3.07205e-07,22.0876,1,0.242756,10.6951,14.8336,0.0404593,-0.164641,-0.144846,638,12769,56.2979
9400,3.05587e-07,22.0496,1,0.242645,10.6753,14.8213,0.0407554,-0.168951,-0.147153,638,12769,56.4724
9500,3.0761e-07,22.0121,1,0.242533,10.6561,14.8082,0.0404585,-0.154899,-0.141186,638,12769,56.6639
9600,3.05836e-07,21.9798,1,0.241638,10.6375,14.7992,0.0402572,-0.145646,-0.137517,638,12769,56.8691
9700,3.06614e-07,21.9435,1,0.240855,10.6186,14.7864,0.0398514,-0.13056,-0.129383,638,12769,57.1163
9800,3.05555e-07,21.9043,1,0.240519,10.5987,14.7732,0.040021,-0.136423,-0.132913,638,12769,57.3631
9900,3.05244e-07,21.8666,1,0.239624,10.577,14.7608,0.0403035,-0.142583,-0.135299,638,12769,57.6652
10000,3.03408e-07,21.8317,1,0.240183,10.5584,14.7512,0.0404033,-0.144604,-0.136416,638,12769,57.997
10100,3.04871e-07,21.7929,1,0.23996,10.5382,14.741,0.0406704,-0.149692,-0.139659,638,12769,58.295
10200,3.03346e-07,21.7579,1,0.239512,10.5194,14.7329,0.0409682,-0.157871,-0.143865,638,12769,58.6102
10300,3.03283e-07,21.7228,1,0.238729,10.5014,14.725,0.0410963,-0.158769,-0.144492,638,12769,58.8932
10400,3.02412e-07,21.6886,1,0.238505,10.4844,14.7185,0.0413187,-0.16508,-0.148458,638,12769,59.1189
10500,3.01634e-07,21.6529,1,0.238841,10.4651,14.7079,0.0412108,-0.161391,-0.147258,638,12769,59.3727
10600,3.02536e-07,21.6079,1,0.238058,10.4427,14.6932,0.0415142,-0.171357,-0.151385,638,12769,59.6533
10700,3.01105e-07,21.5633,1,0.237499,10.4171,14.6791,0.041161,-0.159104,-0.144666,638,12769,60.0223
10800,3.00451e-07,21.5202,1,0.237387,10.3997,14.6653,0.0414635,-0.167398,-0.147047,638,12769,60.3466
10900,2.99984e-07,21.4776,1,0.237051,10.3753,14.6538,0.0415253,-0.167034,-0.144899,638,12769,60.7333
11000,3.00077e-07,21.4325,1,0.236939,10.3553,14.6403,0.0417488,-0.172068,-0.14615,638,12769,61.1157
11100,2.98303e-07,21.3922,1,0.236716,10.3361,14.6304,0.041507,-0.163485,-0.14127,638,12769,61.5137
11200,2.99424e-07,21.3511,1,0.236827,10.3152,14.6216,0.042111,-0.178628,-0.148021,638,12769,61.9076
11300,2.99673e-07,21.3053,1,0.23638,10.29,14.6102,0.0420254,-0.170292,-0.143816,638,12769,62.3397
11400,2.97805e-07,21.2599,1,0.236492,10.2677,14.5994,0.041809,-0.154683,-0.135127,638,12769,62.8644
11500,2.98552e-07,21.2209,1,0.235932,10.2467,14.5915,0.0415795,-0.145005,-0.129319,638,12769,63.3351
11600,2.97992e-07,21.1772,1,0.23638,10.2213,14.5812,0.0418197,-0.150157,-0.131541,638,12769,63.9033
11700,2.97805e-07,21.1297,1,0.235821,10.1962,14.5703,0.0420835,-0.159689,-0.136525,638,12769,64.5142
11800,2.96591e-07,21.0875,1,0.235932,10.1741,14.5595,0.0423594,-0.168053,-0.142551,638,12769,65.0543
11900,2.95191e-07,21.0468,1,0.235932,10.1512,14.5513,0.0424052,-0.169486,-0.14636,638,12769,65.551
12000,2.95378e-07,21.002,1,0.236156,10.1296,14.5409,0.0428427,-0.184654,-0.155911,638,12769,66.0567
12100,2.96249e-07,20.956,1,0.236156,10.1037,14.5309,0.0433011,-0.199681,-0.165705,638,12769,66.6282
12200,2.94475e-07,20.9095,1,0.235261,10.0786,14.5213,0.0441813,-0.23262,-0.182068,638,12769,67.289
12300,2.93728e-07,20.8669,1,0.235261,10.057,14.5144,0.044258,-0.23883,-0.187793,638,12769,67.9682
12400,2.93417e-07,20.8178,1,0.234702,10.0306,14.503,0.044423,-0.244486,-0.193678,638,12769,68.8098
12500,2.94164e-07,20.7643,1,0.234366,10.0036,14.4897,0.045018,-0.266338,-0.205176,638,12769,69.7852
12600,2.94599e-07,20.7165,1,0.233807,9.97865,14.4793,0.0450733,-0.266797,-0.209558,638,12769,70.7385
12700,2.94506e-07,20.6684,1,0.234031,9.95329,14.4714,0.0446258,-0.245579,-0.203251,638,12769,71.6896
12800,2.93043e-07,20.6256,1,0.233359,9.93175,14.4667,0.0446976,-0.23726,-0.200024,638,12769,72.6178
12900,2.913e-07,20.579,1,0.233024,9.90598,14.4598,0.0451243,-0.235352,-0.199994,638,12769,73.4671
13000,2.91425e-07,20.5343,1,0.232688,9.88305,14.4542,0.0455954,-0.234949,-0.202074,638,12769,74.4893
13100,2.92078e-07,20.4855,1,0.232017,9.85463,14.4456,0.046126,-0.234122,-0.205062,638,12769,75.477
13200,2.92047e-07,20.4343,1,0.231458,9.82628,14.4369,0.0467157,-0.232211,-0.208639,638,12769,76.5177
13300,2.91331e-07,20.3826,1,0.231346,9.79504,14.4292,0.0475215,-0.234108,-0.215619,638,12769,77.707
13400,2.91269e-07,20.3299,1,0.231793,9.76738,14.4178,0.0483772,-0.231115,-0.220865,638,12769,79.0979
13500,2.91829e-07,20.2769,1,0.231458,9.73445,14.4081,0.0493737,-0.229398,-0.227996,638,12769,80.8579
13600,2.91829e-07,20.2194,1,0.231793,9.70272,14.3969,0.050563,-0.237065,-0.239325,638,12769,82.8221
13700,2.90833e-07,20.1606,1,0.231681,9.66903,14.3841,0.0529122,-0.281819,-0.265809,638,12769,85.4553
13800,2.913e-07,20.1021,1,0.232129,9.6365,14.3706,0.0531454,-0.257635,-0.268628,638,12769,88.6122
13900,2.90833e-07,20.0489,1,0.23157,9.60599,14.3616,0.0534574,-0.230527,-0.264672,638,12769,92.0056
14000,2.92545e-07,19.9928,1,0.231793,9.57172,14.3526,0.0549157,-0.238642,-0.268063,638,12769,95.9889
14100,2.92421e-07,19.9396,1,0.231905,9.54041,14.3455,0.0556156,-0.223895,-0.256077,638,12769,99.7885
14200,2.91611e-07,19.8835,1,0.232241,9.50912,14.3372,0.0562764,-0.215014,-0.24291,638,12769,103.843
14300,2.91269e-07,19.8311,1,0.231905,9.47316,14.3326,0.0576644,-0.234195,-0.240053,638,12769,108.184
14400,2.90491e-07,19.7756,1,0.232241,9.44245,14.3272,0.05737,-0.209413,-0.22167,638,12769,112.426
14500,2.9018e-07,19.7209,1,0.232129,9.4094,14.3227,0.0580115,-0.213315,-0.217065,638,12769,116.865
