step,train_loss,test_loss,train_acc,test_acc,restricted_loss,excluded_loss,hill,moment,gpd,k,n,median_deviation
0,4.9223,4.91269,0.00913838,0.00894955,4.91196,4.731,0.0297739,-0.0442653,-0.0261523,638,12769,3.27118
100,1.3531,9.03763,0.690862,0.11668,5.66717,6.9453,0.0625688,0.0771716,0.115158,638,12769,39.0183
200,0.0632092,17.372,0.978068,0.237834,8.92977,12.2167,0.0594735,0.0671643,0.0837864,638,12769,67.8291
300,0.03527,17.2916,0.985901,0.241414,8.8132,11.8868,0.0540894,-0.0494298,-0.0733783,638,12769,63.8275
400,0.0183521,16.962,0.992167,0.244099,8.66525,11.5056,0.0496811,-0.182108,-0.191361,638,12769,58.1954
500,0.00826977,17.6142,0.996867,0.247007,8.97207,11.8794,0.0484098,-0.229249,-0.213803,638,12769,55.4453
600,0.00663518,17.9601,0.99765,0.246001,9.27462,12.1076,0.0457662,-0.184497,-0.179019,638,12769,52.2012
700,0.00400287,17.8852,0.998433,0.25316,9.30328,12.1152,0.0457065,-0.14183,-0.134869,638,12769,48.2268
800,0.00130314,18.4725,0.999739,0.254615,9.65023,12.576,0.0486259,-0.0939124,-0.100188,638,12769,46.3004
900,0.000359782,19.5497,1,0.257635,10.1644,13.2858,0.0515676,-0.0633962,-0.0695979,638,12769,46.0543
1000,0.000135839,20.8732,1,0.258194,10.8081,14.052,0.0533591,-0.0332324,-0.0413871,638,12769,46.8448
1100,4.93499e-05,22.3027,1,0.258866,11.471,14.973,0.0551786,-0.022618,-0.0302933,638,12769,48.34
1200,1.81046e-05,23.7286,1,0.258978,12.1188,15.8849,0.0568398,-0.0273126,-0.0335892,638,12769,50.0956
1300,6.82885e-06,25.1099,1,0.258978,12.7349,16.7586,0.0567717,-0.0172403,-0.0243728,638,12769,51.9726
1400,2.73979e-06,26.3605,1,0.259089,13.2774,17.5334,0.0573775,-0.0281804,-0.0347878,638,12769,53.7881
1500,1.22985e-06,27.378,1,0.259537,13.6916,18.2165,0.0568104,-0.0279409,-0.0352075,638,12769,55.4228
1600,6.83321e-07,27.9167,1,0.259201,13.857,18.479,0.0548355,-0.0220393,-0.0304528,638,12769,56.5128
1700,4.65508e-07,28.0842,1,0.259537,13.8237,18.4825,0.0534511,-0.0256832,-0.0342562,638,12769,57.3485
1800,3.8147e-07,28.0314,1,0.258978,13.6822,18.349,0.0518502,-0.0235411,-0.0314721,638,12769,57.78
1900,3.58281e-07,27.8618,1,0.259537,13.5121,18.1537,0.0500511,-0.0151189,-0.0223875,638,12769,57.7582
2000,3.53052e-07,27.6843,1,0.260544,13.3651,17.9777,0.0487596,-0.00646797,-0.0132136,638,12769,57.4169
2100,3.49255e-07,27.5299,1,0.260991,13.2537,17.8402,0.0485026,-0.0155848,-0.0211264,638,12769,57.0399
2200,3.50562e-07,27.392,1,0.261439,13.1672,17.7269,0.0481563,-0.0214737,-0.0254688,638,12769,56.7185
2300,3.51278e-07,27.2572,1,0.261662,13.0918,17.6246,0.0484775,-0.0418226,-0.040821,638,12769,56.5057
2400,3.52617e-07,27.127,1,0.260432,13.0215,17.5328,0.0475367,-0.03367,-0.033028,638,12769,56.3437
2500,3.50874e-07,27.0086,1,0.260767,12.9639,17.4526,0.0463855,-0.0198068,-0.0206093,638,12769,56.2415
